ticker,fecha,close,amarilla,hma200_high,hma200_low,hma200_hl2_blanca,rsi14,laguerre,n_condiciones_ok,cumple_todo,precio_sobre_medias,canal_sobre_sma25,sma25_sobre_hma_blanca,rsi_sobrecompra,laguerre_alto
DE,2026-08-17,647.47,549.93,594.07,555.47,486.63,61.4,85.6,4,False,True,True,True,False,True
AMP,2026-08-17,555.59,470.54,522.99,493.76,452.58,68.2,88.4,4,False,True,True,True,False,True
VRTX,2026-08-17,548.05,454.33,475.51,446.19,447.78,69.0,100.0,4,False,True,False,True,True,True
AMGN,2026-08-17,439.33,342.39,350.52,331.14,299.97,75.5,100.0,4,False,True,False,True,True,True
V,2026-08-17,371.04,324.25,362.18,346.05,321.51,65.9,100.0,4,False,True,True,True,False,True
EXPE,2026-08-17,321.17,245.11,273.1,247.87,173.06,67.8,100.0,4,False,True,True,True,False,True
ADP,2026-08-17,280.81,230.21,260.31,246.77,276.86,70.0,100.0,4,False,True,True,False,True,True
LLY,2026-08-17,1255.4,1011.13,1074.05,994.33,753.18,67.4,91.2,3,False,True,False,True,False,True
BLK,2026-08-17,1156.55,1041.65,1158.18,1094.96,955.43,61.4,100.0,3,False,False,True,True,False,True
GS,2026-08-17,1039.28,897.56,1009.37,946.14,565.27,60.8,21.1,3,False,True,True,True,False,False
PH,2026-08-17,1001.74,912.99,984.12,929.58,616.4,57.7,71.4,3,False,True,True,True,False,False
TMO,2026-08-17,629.27,523.89,513.01,478.3,627.88,70.7,100.0,3,False,True,False,False,True,True
MA,2026-08-17,580.63,522.95,577.73,550.76,535.02,66.2,100.0,3,False,True,True,False,False,True
MSFT,2026-08-17,483.24,423.63,473.01,444.71,443.89,61.6,94.7,3,False,True,True,False,False,True
AMD,2026-08-17,473.25,275.13,329.74,286.21,177.71,57.2,31.7,3,False,True,True,True,False,False
ROK,2026-08-17,437.08,402.24,428.25,402.33,334.15,51.2,0.0,3,False,True,True,True,False,False
ROP,2026-08-17,411.79,379.71,408.3,384.58,555.73,63.5,100.0,3,False,True,True,False,False,True
ETN,2026-08-17,419.2,367.86,409.9,379.5,299.32,56.0,69.3,3,False,True,True,True,False,False
ISRG,2026-08-17,378.81,477.34,531.36,497.25,471.23,40.0,87.5,3,False,False,True,True,False,True
TRV,2026-08-17,363.58,297.76,323.81,309.36,238.76,63.7,44.2,3,False,True,True,True,False,False
JPM,2026-08-17,351.58,305.48,344.67,328.39,230.32,64.6,66.3,3,False,True,True,True,False,False
VLO,2026-08-17,348.86,209.5,224.23,207.27,148.56,75.5,77.4,3,False,True,False,True,True,False
MAR,2026-08-17,356.39,334.3,354.19,335.02,257.5,50.5,0.0,3,False,True,True,True,False,False
NSC,2026-08-17,350.72,298.22,314.28,301.75,279.74,67.4,64.9,3,False,True,True,True,False,False
CB,2026-08-17,340.99,318.68,335.2,321.73,273.13,54.4,0.0,3,False,True,True,True,False,False
AAPL,2026-08-17,309.35,272.21,290.27,274.87,236.78,56.6,2.2,3,False,True,True,True,False,False
APD,2026-08-17,305.1,274.28,289.83,274.39,303.95,58.6,94.2,3,False,True,True,False,False,True
CME,2026-08-17,274.98,281.25,302.25,286.25,243.84,53.0,100.0,3,False,False,True,True,False,True
JNJ,2026-08-17,268.91,225.55,229.9,219.45,179.58,66.2,97.2,3,False,True,False,True,False,True
ALL,2026-08-17,253.83,210.59,233.4,221.8,179.57,64.7,51.5,3,False,True,True,True,False,False
PNC,2026-08-17,243.13,212.13,230.38,219.72,180.86,58.6,39.1,3,False,True,True,True,False,False
WELL,2026-08-17,239.22,201.19,223.82,212.14,129.75,62.6,30.6,3,False,True,True,True,False,False
IBM,2026-08-17,235.68,261.65,303.77,277.67,198.05,46.3,100.0,3,False,False,True,True,False,True
AZO,2026-08-17,2957.95,3496.25,3895.61,3675.94,3378.58,38.0,52.2,2,False,False,True,True,False,False
TDG,2026-08-17,1200.35,1276.88,1423.53,1343.27,1152.43,44.8,26.2,2,False,False,True,True,False,False
EQIX,2026-08-17,1065.39,924.31,966.95,915.78,891.72,55.9,62.3,2,False,True,False,True,False,False
COST,2026-08-17,947.74,966.33,1061.18,1013.85,857.68,47.0,70.0,2,False,False,True,True,False,False
MU,2026-08-17,966.78,476.37,562.54,474.94,166.03,62.3,70.0,2,False,True,False,True,False,False
MCK,2026-08-17,858.9,847.82,906.21,855.18,597.78,56.4,82.5,2,False,False,True,True,False,False
CAT,2026-08-17,827.9,736.1,779.52,720.25,403.86,50.6,19.8,2,False,True,False,True,False,False
REGN,2026-08-17,834.04,727.2,626.97,580.98,820.93,68.3,100.0,2,False,True,False,False,False,True
LMT,2026-08-17,563.57,558.64,556.74,522.76,508.66,52.0,59.3,2,False,True,False,True,False,False
BRK-B,2026-08-17,495.82,490.27,528.48,511.46,457.35,50.8,57.7,2,False,False,True,True,False,False
LIN,2026-08-17,487.57,472.98,500.08,478.46,455.68,47.7,8.7,2,False,False,True,True,False,False
